,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
0,10/10/49 20:30,San Marcos,TX,US,cylinder,2700.0,45 minutes,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,4/27/04,29.883055600000006,-97.94111109999999
1,10/10/49 21:00,Lackland Afb,TX,,light,7200.0,1-2 hrs,1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,12/16/05,29.384209999999996,-98.581082
2,10/10/55 17:00,Chester (Uk/England),,GB,circle,20.0,20 seconds,Green/Orange circular disc over Chester&#44 England,1/21/08,53.2,-2.916667
3,10/10/56 21:00,Edna,TX,US,circle,20.0,1/2 hour,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,1/17/04,28.9783333,-96.64583329999999
4,10/10/60 20:00,Kaneohe,HI,US,light,900.0,15 minutes,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,1/22/04,21.418055600000002,-157.8036111
5,10/10/61 19:00,Bristol,TN,US,sphere,300.0,5 minutes,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi,4/27/07,36.595,-82.18888890000001
6,10/10/65 21:00,Penarth (Uk/Wales),,GB,circle,180.0,about 3 mins,penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,2/14/06,51.434722,-3.18
7,10/10/65 23:45,Norwalk,CT,US,disk,1200.0,20 minutes,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,10/2/99,41.1175,-73.4083333
8,10/10/66 20:00,Pell City,AL,US,disk,180.0,3  minutes,Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama,3/19/09,33.586111100000004,-86.28611109999999
9,10/10/66 21:00,Live Oak,FL,US,disk,120.0,several minutes,Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info,5/11/05,30.294722200000002,-82.9841667
10,10/10/68 13:00,Hawthorne,CA,US,circle,300.0,5 min.,ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .,10/31/03,33.916388899999994,-118.35166670000001
11,10/10/68 19:00,Brevard,NC,US,fireball,180.0,3 minutes,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,6/12/08,35.2333333,-82.7344444
12,10/10/70 16:00,Bellmore,NY,US,disk,1800.0,30 min.,silver disc seen by family and neighbors,5/11/00,40.66861110000001,-73.5275
13,10/10/70 19:00,Manchester,KY,US,unknown,180.0,3 minutes,Slow moving&#44 silent craft accelerated at an unbelievable angle and speed.,2/14/08,37.153611100000006,-83.7619444
14,10/10/71 21:00,Lexington,NC,US,oval,30.0,30 seconds,green oval shaped light over my local church&#44power lines down..,2/14/10,35.8238889,-80.25361109999999
15,10/10/72 19:00,Harlan County,KY,US,circle,1200.0,20minutes,On october 10&#44 1972 myself&#44my 5yrs.daughter&#442 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge,9/15/05,36.84305560000001,-83.3219444
16,10/10/72 22:30,West Bloomfield,MI,US,disk,120.0,2 minutes,The UFO was so close&#44 my battery in the car went to zero amps&#44 stalling the engine&#44 turning off my lights and radio.,8/14/07,42.5377778,-83.2330556
17,10/10/73 19:00,Niantic,CT,US,disk,1800.0,20-30 min,Oh&#44 what a night &#33  Two (2) saucer-shaped&#44 glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.,9/24/03,41.3252778,-72.1936111
18,10/10/73 23:00,Bermuda Nas,,,light,20.0,20 sec.,saw fast moving blip on the radar scope thin went outside and saw it again.,1/11/02,32.364167,-64.678611
19,10/10/74 17:00,Willow Beach,AZ,,light,120.0,2 min,The object was a brillant white light standing out against the bright arizona sky,2/18/01,0.0,0.0
20,10/10/74 19:30,Hudson,MA,US,other,2700.0,45 minutes,Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l,8/10/99,42.3916667,-71.5666667
21,10/10/74 21:30,Cardiff (Uk/Wales),,GB,disk,1200.0,20 minutes,back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca,2/1/07,51.5,-3.2
22,10/10/74 23:00,Hudson,KS,US,light,1200.0,one hour?,The light chased us.,7/25/04,38.1055556,-98.6597222
23,10/10/75 17:00,North Charleston,SC,US,light,360.0,5-6 minutes,Several Flashing UFO lights over Charleston Naval Base in S.C.,2/14/08,32.8544444,-79.975
24,10/10/76 20:30,Washougal,WA,US,oval,60.0,1 minute,Three extremely large lights hanging above nearby trees.,2/7/14,45.5827778,-122.3522222
25,10/10/76 22:00,Stoke Mandeville (Uk/England),,GB,cigar,3.0,3 seconds,White object over Buckinghamshire UK.,12/12/09,51.783333,-0.783333
26,10/10/77 12:00,San Antonio,TX,US,other,30.0,30 seconds,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind,2/24/05,29.423888899999998,-98.4933333
27,10/10/77 22:00,Louisville,KY,US,light,30.0,approx: 30 seconds,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.,3/17/04,38.2541667,-85.7594444
28,10/10/78 2:00,Elmont,NY,US,rectangle,300.0,5min,A memory I will never forget that happened meny years ago.,2/1/07,40.7008333,-73.7133333
29,10/10/79 0:00,Poughkeepsie,NY,US,chevron,900.0,15 minutes,1/4 moon-like&#44  its &#39chord&#39 or flat side parallel to horizon&#44  bright orange-red glow&#44  completely silent&#44 no features.,4/16/05,41.7002778,-73.92138890000001
30,10/10/79 22:00,Saddle Lake (Canada),AB,,triangle,270.0,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,1/19/05,53.970571,-111.689885
31,10/10/79 22:00,San Diego,CA,US,oval,180.0,3 minutes,My 2nd UFO sighting&#44 October 1979,8/5/01,32.7152778,-117.1563889
32,10/10/79 22:00,Security,CO,US,unknown,1800.0,30mins.,very low clouds all different colors&#44search lights were seen shining down out of the clouds on the houses and streets. this event was s,1/28/99,38.7583333,-104.7425
33,10/10/80 19:00,Houston,TX,US,sphere,180.0,3 min,Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980.,4/16/05,29.763055600000005,-95.3630556
34,10/10/80 22:00,Dallas,TX,US,unknown,300.0,5 minutes,Strange shape shifting craft of pure light energy.,10/28/02,32.783333299999995,-96.8
35,10/10/80 23:30,Manchester,NH,US,light,300.0,3 to 5 min,A red glowing sphere stopped and watched me.,11/21/10,42.9955556,-71.45527779999999
36,10/10/82 7:00,Gisborne (New Zealand),,,disk,120.0,2min,gisborne nz 1982 wainui beach to sponge bay,1/11/02,-38.662334,178.017649
37,10/10/84 5:00,Houston,TX,US,circle,60.0,1 minute,2 experience with unkown,4/18/12,29.763055600000005,-95.3630556
38,10/10/84 12:00,Traverse City,MI,US,other,120.0,couple minutes,translucent football seen over city airport,10/7/03,44.7630556,-85.6205556
39,10/10/84 22:00,White Plains,NY,US,formation,20.0,15-20 seconds,Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif,8/10/99,41.033888899999994,-73.7633333
40,10/10/85 20:25,Leeds (Uk/England),,GB,triangle,600.0,10min,three light in the sky that led to a big black silent triangle shaped craft.,3/4/03,53.8,-1.583333
41,10/10/86 20:00,Holmes/Pawling,NY,,chevron,180.0,3 minutes,Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound,10/8/07,41.523427000000005,-73.646795
42,10/10/87 20:00,Manilla (Rr#1) (Canada),ON,,disk,600.0,10/mins,We could clearly see the craft and observed in detail it&#39s structure&#44no sound was made by it and the lights that were flashing were not,8/5/01,0.0,0.0
43,10/10/88 18:00,Milwaukee,WI,US,triangle,600.0,10 minutes,A silent black triangular object with no lights moved over us as we walked our dog across a school playground.,8/7/07,43.038888899999996,-87.90638890000001
44,10/10/88 21:00,New Gloucester,ME,US,unknown,120.0,few minutes,I&#39m still afraid to look at the sky at night.,1/10/09,43.9627778,-70.2830556
45,10/10/88 22:00,Boulder,CO,US,light,60.0,1 minute,Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish,7/16/06,40.015,-105.27
46,10/10/88 22:45,Seattle (Ballard Area),WA,US,unknown,2.0,2 sec.,Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.,4/27/04,47.6063889,-122.33083329999998
47,10/10/89 0:00,Calabasas,CA,US,disk,300.0,approx 5 min,Unidentified object on Mulholland Highway.,12/14/04,34.1577778,-118.6375
48,10/10/89 21:00,Centralia,WA,US,triangle,60.0,1 minute,A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.,4/27/04,46.7163889,-122.95305559999998
49,10/10/89 21:00,Kranklin,KY,,triangle,180.0,3min,Triangle seen in franklin Ky - october 1989,5/11/05,36.722263,-86.577218
50,10/10/90 20:00,Pense (Canada),SA,,unknown,180.0,1/2 hr.,i saw something one rainy night&#44 and i&#39ll never forget it as long as i live.,10/12/01,0.0,0.0
51,10/10/90 21:00,Ashburn,GA,US,triangle,120.0,2 minutes,Translucent Craft that makes No Sound While Moving,10/8/07,31.7058333,-83.6533333
52,10/10/91 22:00,Frisco,NC,US,unknown,1800.0,30 minutes,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30,1/28/99,35.235,-75.6288889
53,10/10/91 22:00,Harrisburg,PA,US,triangle,600.0,10 minutes,We observed 3 triangular shaped high speed objects&#33,5/9/03,40.273611100000004,-76.88472220000001
54,10/10/92 17:00,Panama City,FL,US,formation,3600.0,1 hour(?),During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.,1/28/99,30.1586111,-85.66027779999999
55,10/10/92 18:00,Stafford,TX,US,unknown,10.0,10 seconds,A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.,4/18/12,29.6158333,-95.5575
56,10/10/92 20:15,Seymour,TN,US,cigar,60.0,1min. 39s,Stationary Elongated UFO 200ft above vacant field with city lights on bottom,10/31/08,35.890555600000006,-83.7247222
57,10/10/92 22:00,Weatherford,TX,US,unknown,30.0,30 seconds,Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.,9/2/05,32.7591667,-97.7969444
58,10/10/93 3:00,Zlatoust (Russia),,,sphere,1200.0,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,12/14/04,55.183333,59.65
59,10/10/93 22:00,Peoria,IL,US,light,8.0,8 seconds,Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.,10/11/05,40.693611100000005,-89.58888890000001
60,10/10/93 23:00,Carthage,TN,US,other,60.0,less than 1 min,1 object with green and red lights,3/21/03,36.2522222,-85.9516667
61,10/10/94 15:00,Mercedies,TX,,cigar,3600.0,1 hour,ufo chased by fighter jet over Rio Grande Valley. Seen on news,12/12/11,26.149798,-97.913611
62,10/10/94 18:30,Burnt Hills,NY,US,rectangle,120.0,2 minutes,Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY.,10/23/13,42.9097222,-73.8955556
63,10/10/94 22:00,Pinebergen,AR,US,light,5.0,5 seconds,Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.,2/18/01,34.1027778,-91.9922222
64,10/10/94 23:00,Toronto (Greater Toronto Area) (Canada),ON,CA,sphere,3600.0,~1 hour,Large rusty sphere,7/3/13,43.666667,-79.416667
65,10/10/95 17:05,Puerto Rico (Puerto Rico),PR,,0,0.0,0,Woman calls regarding fiance who is having peculiar &quot;flash back&quot; recall of alien type creatures.  Directed to investigator.,11/2/99,18.220833,-66.590149
66,10/10/95 19:45,Milwaukee,WI,US,0,120.0,2 min.,Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33,11/2/99,43.038888899999996,-87.90638890000001
67,10/10/95 22:40,Oakland,CA,US,0,60.0,1 minute,Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.,11/2/99,37.804444399999994,-122.2697222
68,10/10/96 3:20,Higginsville,MO,US,triangle,3.0,3sec,illuminated triangular craft&#44 flying at high speed from South to North,2/16/00,39.0725,-93.7169444
